<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.29	00:00:00	66319.74	66332.79	66292.36	66332.76	48	0	1400
2026.03.29	00:01:00	66332.93	66383.80	66332.69	66380.04	56	0	1400
2026.03.29	00:02:00	66378.33	66414.77	66377.45	66404.01	41	0	1400
2026.03.29	00:03:00	66398.71	66415.65	66380.88	66386.58	29	0	1400
2026.03.29	00:04:00	66386.55	66417.03	66386.55	66404.77	39	0	1400
2026.03.29	00:05:00	66410.18	66421.98	66393.77	66407.18	26	0	1400
2026.03.29	00:06:00	66415.74	66415.74	66373.43	66384.44	40	0	1400
2026.03.29	00:07:00	66389.80	66394.32	66367.56	66367.56	19	0	1400
2026.03.29	00:08:00	66367.53	66391.27	66367.53	66391.27	29	0	1400
2026.03.29	00:09:00	66386.99	66392.37	66332.09	66332.81	64	0	1400
2026.03.29	00:10:00	66325.25	66348.05	66325.25	66348.05	22	0	1400
2026.03.29	00:11:00	66353.75	66406.69	66352.80	66398.40	49	0	1400
2026.03.29	00:12:00	66390.67	66403.58	66382.64	66385.63	38	0	1400
2026.03.29	00:13:00	66388.78	66389.28	66353.51	66368.48	42	0	1400
2026.03.29	00:14:00	66363.86	66368.34	66347.31	66359.84	24	0	1400
2026.03.29	00:15:00	66361.69	66374.79	66349.20	66370.02	40	0	1400
2026.03.29	00:16:00	66366.25	66382.76	66349.77	66368.24	42	0	1400
2026.03.29	00:17:00	66373.70	66392.65	66362.07	66392.64	25	0	1400
2026.03.29	00:18:00	66389.42	66392.54	66378.83	66391.44	20	0	1400
2026.03.29	00:19:00	66394.47	66426.45	66394.47	66407.12	32	0	1400
2026.03.29	00:20:00	66414.09	66414.09	66379.74	66386.40	63	0	1400
2026.03.29	00:21:00	66391.22	66394.89	66264.68	66300.24	78	0	1400
2026.03.29	00:22:00	66292.38	66309.73	66214.43	66266.42	83	0	1400
2026.03.29	00:23:00	66262.98	66306.82	66261.66	66270.61	53	0	1400
2026.03.29	00:24:00	66267.92	66298.89	66267.92	66298.02	49	0	1400
2026.03.29	00:25:00	66295.53	66312.79	66258.14	66280.37	50	0	1400
2026.03.29	00:26:00	66281.51	66306.37	66275.63	66296.24	41	0	1400
2026.03.29	00:27:00	66299.57	66314.44	66295.05	66304.44	24	0	1400
2026.03.29	00:28:00	66304.57	66323.29	66304.57	66315.32	29	0	1400
2026.03.29	00:29:00	66312.45	66350.28	66312.45	66333.46	32	0	1400
2026.03.29	00:30:00	66332.23	66360.93	66316.77	66347.33	30	0	1400
2026.03.29	00:31:00	66351.39	66418.81	66349.95	66379.44	63	0	1400
2026.03.29	00:32:00	66373.11	66382.48	66367.33	66382.48	35	0	1400
2026.03.29	00:33:00	66388.40	66388.40	66362.28	66375.68	22	0	1400
2026.03.29	00:34:00	66381.50	66392.50	66362.41	66362.69	24	0	1400
2026.03.29	00:35:00	66362.76	66375.31	66343.70	66374.28	40	0	1400
2026.03.29	00:36:00	66379.54	66383.61	66345.58	66357.72	42	0	1400
2026.03.29	00:37:00	66359.18	66368.50	66315.45	66318.68	41	0	1400
2026.03.29	00:38:00	66316.32	66331.40	66296.26	66330.24	26	0	1400
2026.03.29	00:39:00	66338.46	66373.78	66338.46	66360.54	29	0	1400
2026.03.29	00:40:00	66355.55	66374.74	66350.27	66369.74	26	0	1400
2026.03.29	00:41:00	66370.64	66380.14	66341.06	66351.22	37	0	1400
