,importance
15m_wick_imbalance,2878
15m_lower_wick,2770
1m_vs_15m_range_ratio,2600
15m_upper_wick,2514
15m_close_pos_in_range,2409
15m_lower_wick_ratio,2255
15m_volume_mean10,2243
15m_upper_wick_ratio,2070
15m_body_ratio,2055
5m_ma20_slope,2039
15m_body_vs_range_mean10,1984
5m_return_std10,1960
1m_vol_compression10,1919
15m_body_change1,1886
5m_volume_vs_mean10,1764
1m_ma10_dist,1716
15m_volume_vs_mean10,1714
5m_lower_wick,1680
1m_vs_5m_range_ratio,1672
15m_ma20_slope,1664
1m_ma20,1645
15m_range,1622
5m_wick_imbalance,1609
15m_ma10,1569
5m_upper_wick,1569
5m_vol_compression10,1565
1m_return_std10,1558
5m_range_std10,1553
1m_ma20_slope,1542
15m_open_pos_in_range,1489
1m_ma10,1482
5m_lower_wick_ratio,1461
15m_body,1448
1m_range_std10,1389
15m_ma10_dist,1352
5m_upper_wick_ratio,1341
5m_body_vs_range_mean10,1292
1m_ma20_dist,1281
5m_ma10_slope,1277
5m_close_pos_in_range,1272
1m_ma10_slope,1259
15m_range_vs_mean5,1258
5m_open_pos_in_range,1257
5m_range,1207
1m_volatility10,1189
15m_range_mean10,1152
5m_range_vs_mean10,1146
15m_range_vs_mean10,1144
1m_momentum3,1127
5m_body_ratio,1098
15m_ma20_dist,1086
1m_momentum5,1086
15m_range_change1,1054
1m_return_std5,1042
15m_range_mean5,994
5m_ma10,977
5m_return_std5,957
1m_range_mean10,939
1m_volume_mean10,930
5m_volume_mean10,914
5m_range_mean10,913
5m_ma20,909
1m_momentum10_accel,887
15m_ma10_slope,878
15m_ma20,876
5m_volatility10,834
1m_volume_change,824
5m_range_vs_mean5,814
5m_body_change1,806
15m_range_std10,791
1m_volume_vs_mean10,774
5m_momentum3,748
5m_ma20_dist,746
1m_body_change1,739
1m_range_mean5,731
1m_momentum3_accel,727
1m_close_pos_in_range,715
5m_range_mean5,714
5m_body,703
5m_range_change1,702
1m_range_vs_mean5,659
15m_vol_compression10,657
1m_range_change1,654
15m_momentum10,644
1m_wick_imbalance,642
1m_momentum5_accel,639
15m_return_std10,605
1m_body_vs_15m_range,600
5m_momentum5,591
1m_lower_wick,584
1m_body_ratio,574
15m_volatility10,570
1m_range_vs_mean10,566
15m_momentum3,550
1m_upper_wick,542
5m_ma10_dist,541
5m_momentum10,540
1m_lower_wick_ratio,539
1m_open_pos_in_range,539
15m_return_std5,516
1m_range,514
1m_upper_wick_ratio,493
1m_body,450
1m_return,441
15m_momentum5,440
1m_body_vs_5m_range,393
1m_return_mean5,383
1m_return_mean3,366
1m_momentum10,316
1m_body_vs_range_mean10,304
5m_momentum10_accel,225
5m_momentum3_accel,217
15m_return,190
5m_return_mean3,154
momentum_alignment_score,142
align_1m_15m_ma10,139
15m_return_mean3,132
5m_volume_change,120
5m_momentum5_accel,120
5m_return_mean5,120
15m_momentum10_accel,100
1m_log_return,89
1m_ma10_above_ma20,89
15m_return_mean5,79
5m_return,78
15m_momentum3_accel,65
15m_momentum5_accel,62
triple_trend_alignment,62
align_5m_15m_ma10,49
align_1m_5m_ma10,44
5m_ma10_above_ma20,29
15m_log_return,29
1m_close_above_ma20,22
1m_close_above_ma10,20
triple_bull_alignment,17
15m_volume_change,17
triple_bear_alignment,13
15m_ma10_above_ma20,12
5m_log_return,10
15m_close_above_ma10,9
15m_is_bull,2
5m_close_above_ma20,2
5m_close_above_ma10,2
15m_close_above_ma20,1
1m_is_bear,0
1m_is_bull,0
5m_is_bear,0
5m_is_bull,0
15m_is_bear,0
