<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.19	00:00:00	75729.98	75791.74	75710.93	75789.24	154	0	1400
2026.04.19	00:05:00	75794.00	75861.20	75780.55	75857.02	150	0	1400
2026.04.19	00:10:00	75858.17	75874.19	75784.60	75812.07	139	0	1400
2026.04.19	00:15:00	75809.53	75809.53	75694.13	75748.17	205	0	1400
2026.04.19	00:20:00	75750.25	75773.22	75596.34	75632.07	374	0	1400
2026.04.19	00:25:00	75637.58	75659.71	75616.89	75648.10	103	0	1400
2026.04.19	00:30:00	75651.51	75683.02	75600.98	75608.97	149	0	1400
2026.04.19	00:35:00	75607.50	75640.27	75577.85	75628.46	176	0	1400
2026.04.19	00:40:00	75622.48	75635.99	75574.75	75611.80	182	0	1400
2026.04.19	00:45:00	75610.84	75709.20	75601.30	75682.63	164	0	1400
2026.04.19	00:50:00	75681.85	75713.15	75662.90	75662.90	141	0	1400
2026.04.19	00:55:00	75668.53	75700.07	75648.92	75693.79	130	0	1400
2026.04.19	01:00:00	75693.90	75826.90	75684.15	75769.04	234	0	1400
2026.04.19	01:05:00	75768.37	75798.33	75701.04	75701.04	187	0	1400
2026.04.19	01:10:00	75700.88	75721.57	75653.78	75700.16	166	0	1400
2026.04.19	01:15:00	75698.72	75698.74	75637.77	75649.50	198	0	1400
2026.04.19	01:20:00	75649.81	75652.53	75603.85	75603.85	118	0	1400
2026.04.19	01:25:00	75612.70	75634.04	75567.81	75573.16	141	0	1400
2026.04.19	01:30:00	75579.17	75586.36	75479.94	75559.28	234	0	1400
2026.04.19	01:35:00	75561.46	75614.11	75534.74	75542.97	162	0	1400
2026.04.19	01:40:00	75543.14	75596.21	75543.14	75584.42	130	0	1400
2026.04.19	01:45:00	75584.29	75622.73	75572.22	75601.90	130	0	1400
2026.04.19	01:50:00	75601.94	75673.86	75597.06	75643.38	93	0	1400
2026.04.19	01:55:00	75643.55	75665.60	75627.56	75642.93	121	0	1400
2026.04.19	02:00:00	75642.25	75654.07	75597.38	75608.04	121	0	1400
2026.04.19	02:05:00	75610.33	75644.86	75596.68	75639.58	139	0	1400
2026.04.19	02:10:00	75641.08	75675.55	75611.26	75660.10	101	0	1400
2026.04.19	02:15:00	75654.56	75687.53	75639.13	75670.69	161	0	1400
2026.04.19	02:20:00	75674.81	75715.64	75495.79	75513.70	249	0	1400
2026.04.19	02:25:00	75512.66	75543.09	75414.95	75522.82	272	0	1400
2026.04.19	02:30:00	75523.18	75566.71	75474.24	75517.79	245	0	1400
2026.04.19	02:35:00	75511.07	75565.76	75488.76	75559.06	148	0	1400
2026.04.19	02:40:00	75555.27	75756.92	75555.27	75678.11	273	0	1400
2026.04.19	02:45:00	75672.64	75714.10	75608.46	75608.46	203	0	1400
2026.04.19	02:50:00	75614.41	75630.78	75578.11	75603.06	158	0	1400
2026.04.19	02:55:00	75598.26	75605.79	75522.51	75526.68	125	0	1400
2026.04.19	03:00:00	75521.40	75566.75	75435.33	75501.78	219	0	1400
2026.04.19	03:05:00	75501.68	75513.72	75389.27	75462.06	236	0	1400
2026.04.19	03:10:00	75460.35	75575.54	75457.42	75559.27	190	0	1400
2026.04.19	03:15:00	75563.42	75593.08	75515.27	75525.11	188	0	1400
2026.04.19	03:20:00	75523.45	75560.04	75487.09	75508.88	164	0	1400
2026.04.19	03:25:00	75509.25	75557.85	75499.17	75550.63	141	0	1400
2026.04.19	03:30:00	75551.18	75593.18	75511.95	75572.87	169	0	1400
2026.04.19	03:35:00	75576.68	75638.03	75576.68	75596.18	185	0	1400
2026.04.19	03:40:00	75590.80	75640.17	75578.94	75633.06	125	0	1400
2026.04.19	03:45:00	75629.32	75653.91	75616.30	75652.21	134	0	1400
2026.04.19	03:50:00	75648.40	75676.94	75608.22	75639.78	155	0	1400
2026.04.19	03:55:00	75639.68	75645.78	75536.44	75544.36	121	0	1400
2026.04.19	04:00:00	75544.75	75628.91	75542.62	75619.41	147	0	1400
2026.04.19	04:05:00	75619.59	75666.28	75619.59	75631.38	129	0	1400
2026.04.19	04:10:00	75626.47	75770.47	75626.47	75717.38	224	0	1400
2026.04.19	04:15:00	75721.70	75822.00	75706.81	75747.54	234	0	1400
2026.04.19	04:20:00	75746.35	75778.80	75732.16	75735.53	142	0	1400
2026.04.19	04:25:00	75733.47	75748.57	75695.46	75714.98	128	0	1400
2026.04.19	04:30:00	75714.49	75717.59	75602.13	75647.61	235	0	1400
2026.04.19	04:35:00	75647.90	75691.11	75632.28	75647.67	174	0	1400
