trade_number,row_id,predicted_class,true_class,max_confidence,entry_price,future_return,spread_return,raw_trade_return,effective_raw_return,exit_reason,position_notional_usd,margin_required_usd,dynamic_sl_amount_usd,dynamic_tp_amount_usd,dynamic_sl_return,dynamic_tp_return,fee_cost,pnl,balance_before,balance_after,peak_balance,drawdown_pct,win_after_exit
1,2026-04-22 09:45:00,-1,0,0.5867178833762209,1.1,-0.0009122037785922,0.0001792148877391,0.0007329888908531,0.0007329888908531,final_horizon,1100.0,0.55,1.8440000000000003,3.6880000000000006,0.0016763636363636366,0.0033527272727272733,0.0,0.80628777993841,18.44,19.246287779938413,19.246287779938413,0.0,True
2,2026-04-22 11:02:00,-1,0,0.5580624678166164,1.1,-0.001015493266688,0.0001788514999828,0.0008366417667051999,0.0008366417667051999,final_horizon,1100.0,0.55,1.9246287779938414,3.8492575559876827,0.0017496625254489466,0.0034993250508978933,0.0,0.9203059433757199,19.246287779938413,20.166593723314133,20.166593723314133,0.0,True
3,2026-04-22 11:03:00,-1,0,0.5918189501700026,1.1,-0.0005029627289037,0.0001788084866594,0.00032415424224430003,0.00032415424224430003,final_horizon,1100.0,0.55,2.0166593723314135,4.033318744662827,0.0018333267021194669,0.0036666534042389337,0.0,0.35656966646873006,20.166593723314133,20.523163389782862,20.523163389782862,0.0,True
4,2026-04-22 11:04:00,-1,0,0.6560053271221488,1.1,-0.0001901757118775,0.0001789287611752,1.12469507023e-05,1.12469507023e-05,final_horizon,1100.0,0.55,2.052316338978286,4.104632677956572,0.0018657421263438966,0.003731484252687793,0.0,0.012371645772529999,20.523163389782862,20.53553503555539,20.53553503555539,0.0,True
5,2026-04-22 11:05:00,-1,0,0.7577789115697968,1.1,-0.0006083035089607,0.0001788376548813,0.0004294658540794,0.0004294658540794,final_horizon,1100.0,0.55,2.053553503555539,4.107107007111078,0.0018668668214141264,0.003733733642828253,0.0,0.47241243948734,20.53553503555539,21.00794747504273,21.00794747504273,0.0,True
6,2026-04-22 11:06:00,-1,0,0.7828885533196733,1.1,-0.0004853776161214,0.0001788233322552,0.0003065542838662,0.0003065542838662,final_horizon,1100.0,0.55,2.100794747504273,4.201589495008546,0.0019098134068220665,0.003819626813644133,0.0,0.33720971225282,21.00794747504273,21.345157187295552,21.345157187295552,0.0,True
7,2026-04-22 11:07:00,-1,0,0.7263689429404494,1.1,-0.0005238714818036,0.0001788829450061,0.0003449885367975,0.0003449885367975,final_horizon,1100.0,0.55,2.1345157187295554,4.269031437459111,0.0019404688352086866,0.003880937670417373,0.0,0.37948739047725,21.345157187295552,21.724644577772803,21.724644577772803,0.0,True
8,2026-04-22 11:08:00,-1,0,0.5500647971334186,1.1,0.0003942991805123,0.0001789944399212,-0.0005732936204335,-0.0005732936204335,final_horizon,1100.0,0.55,2.1724644577772803,4.3449289155545605,0.0019749676888884365,0.003949935377776873,0.0,-0.63062298247685,21.724644577772803,21.094021595295953,21.724644577772803,-2.9027999984960022,False
9,2026-04-22 11:11:00,-1,0,0.6103922489587741,1.1,0.0009524157925531,0.0001790736112777,-0.0011314894038308,-0.0011314894038308,final_horizon,1100.0,0.55,2.1094021595295955,4.218804319059191,0.0019176383268450867,0.0038352766536901735,0.0,-1.24463834421388,21.094021595295953,19.849383251082074,21.724644577772803,-8.631954000340107,False
10,2026-04-22 11:12:00,-1,0,0.6760922666879415,1.1,0.0006275855623869,0.0001789814192996,-0.0008065669816865,-0.0008065669816865,final_horizon,1100.0,0.55,1.9849383251082076,3.969876650216415,0.001804489386462007,0.003608978772924014,0.0,-0.8872236798551499,19.849383251082074,18.962159571226923,21.724644577772803,-12.715904265574357,False
11,2026-04-22 11:13:00,-1,0,0.6429432860929777,1.1,0.0013303652577087,0.0001790359858495,-0.0015094012435582001,-0.0015094012435582001,final_horizon,1100.0,0.55,1.8962159571226924,3.792431914245385,0.0017238326882933568,0.0034476653765867136,0.0,-1.6603413679140202,18.962159571226923,17.3018182033129,21.724644577772803,-20.358567242039214,False
12,2026-04-22 11:14:00,-1,1,0.601512648424629,1.1,0.002092020767707,0.0001791113670982,-0.0022711321348052,-0.0015728925639375366,stop_loss,1100.0,0.55,1.7301818203312902,3.4603636406625804,0.0015728925639375366,0.0031457851278750733,0.0,-1.7301818203312902,17.3018182033129,15.57163638298161,21.724644577772803,-28.322710517835294,False
13,2026-04-22 11:15:00,1,1,0.8878187776408695,1.1,0.0019430435370426,0.0001790705649305,0.0017639729721121,0.0017639729721121,final_horizon,1100.0,0.55,1.557163638298161,3.114327276596322,0.0014156033075437828,0.0028312066150875657,0.0,1.94037026932331,15.57163638298161,17.51200665230492,21.724644577772803,-19.39105567590262,True
14,2026-04-22 11:16:00,1,0,0.8314437588340362,1.1,0.0011835843399106,0.000179020967575,0.0010045633723356,0.0010045633723356,final_horizon,1100.0,0.55,1.751200665230492,3.502401330460984,0.0015920006047549927,0.0031840012095099854,0.0,1.10501970956916,17.51200665230492,18.61702636187408,21.724644577772803,-14.30457563884949,True
15,2026-04-22 11:17:00,1,0,0.7858365681994076,1.1,0.0012453045318188,0.0001790333071006,0.0010662712247182,0.0010662712247182,final_horizon,1100.0,0.55,1.8617026361874078,3.7234052723748157,0.0016924569419885527,0.0033849138839771053,0.0,1.1728983471900198,18.61702636187408,19.7899247090641,21.724644577772803,-8.905645667907404,True
16,2026-04-22 11:18:00,1,0,0.6370874671689489,1.1,0.0004018826252278,0.00017889846592,0.0002229841593078,0.0002229841593078,final_horizon,1100.0,0.55,1.97899247090641,3.95798494181282,0.0017990840644603726,0.0035981681289207453,0.0,0.24528257523858,19.7899247090641,20.03520728430268,21.724644577772803,-7.776593478535632,True
17,2026-04-22 11:19:00,1,0,0.7512332238459425,1.1,0.0013451610697117,0.0001789627955522,0.0011661982741595,0.0011661982741595,final_horizon,1100.0,0.55,2.003520728430268,4.007041456860536,0.0018213824803911527,0.0036427649607823054,0.0,1.28281810157545,20.03520728430268,21.31802538587813,21.724644577772803,-1.8716954859215464,True
18,2026-04-22 11:20:00,1,0,0.6636220448153948,1.1,0.0005175388668621,0.0001789465086705,0.0003385923581916,0.0003385923581916,final_horizon,1100.0,0.55,2.131802538587813,4.263605077175626,0.0019380023078071028,0.0038760046156142056,0.0,0.37245159401076,21.31802538587813,21.69047697988889,21.724644577772803,-0.1572757508717674,True
19,2026-04-22 11:21:00,1,0,0.7449050686980436,1.1,-0.0001616581190201,0.0001789101712477,-0.0003405682902678,-0.0003405682902678,final_horizon,1100.0,0.55,2.169047697988889,4.338095395977778,0.0019718615436262626,0.003943723087252525,0.0,-0.37462511929458,21.69047697988889,21.315851860594307,21.724644577772803,-1.881700368975175,False
20,2026-04-22 11:22:00,1,0,0.7696293298180379,1.1,0.0005245295884928,0.0001789767057982,0.0003455528826946,0.0003455528826946,final_horizon,1100.0,0.55,2.131585186059431,4.263170372118862,0.0019378047145994825,0.003875609429198965,0.0,0.38010817096405997,21.315851860594307,21.695960031558368,21.724644577772803,-0.13203689529532608,True
21,2026-04-22 11:23:00,1,0,0.7022100548212784,1.1,0.0002846167884797,0.0001789238903779,0.00010569289810179999,0.00010569289810179999,final_horizon,1100.0,0.55,2.169596003155837,4.339192006311674,0.0019723600028689423,0.003944720005737885,0.0,0.11626218791198,21.695960031558368,21.812222219470346,21.812222219470346,0.0,True
