<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.29	00:00:00	66319.74	66421.98	66292.36	66359.84	566	0	1400
2026.03.29	00:15:00	66361.69	66426.45	66214.43	66333.46	661	0	1400
2026.03.29	00:30:00	66332.23	66418.81	66296.26	66349.13	508	0	1400
2026.03.29	00:45:00	66343.35	66454.12	66332.39	66416.99	462	0	1400
2026.03.29	01:00:00	66413.42	66543.82	66412.09	66487.10	592	0	1400
2026.03.29	01:15:00	66484.44	66569.61	66456.84	66501.19	509	0	1400
2026.03.29	01:30:00	66500.61	66510.40	66315.22	66404.95	476	0	1400
2026.03.29	01:45:00	66405.02	66541.02	66348.99	66507.99	535	0	1400
2026.03.29	02:00:00	66506.12	66589.70	66471.89	66565.31	503	0	1400
2026.03.29	02:15:00	66566.22	66640.19	66515.28	66586.66	529	0	1400
2026.03.29	02:30:00	66590.42	66693.73	66510.04	66646.27	567	0	1400
2026.03.29	02:45:00	66647.72	66797.65	66620.25	66740.99	508	0	1400
2026.03.29	03:00:00	66741.32	66758.40	66692.39	66736.36	409	0	1400
2026.03.29	03:15:00	66736.26	67074.23	66716.57	66911.14	876	0	1400
2026.03.29	03:30:00	66920.19	66948.58	66842.45	66865.26	432	0	1400
2026.03.29	03:45:00	66859.00	66895.08	66803.99	66847.27	399	0	1400
2026.03.29	04:00:00	66851.55	66881.45	66779.71	66844.05	468	0	1400
2026.03.29	04:15:00	66846.74	66846.74	66701.69	66761.52	455	0	1400
2026.03.29	04:30:00	66761.60	66796.23	66717.29	66739.67	442	0	1400
2026.03.29	04:45:00	66737.68	66753.01	66654.58	66684.74	418	0	1400
2026.03.29	05:00:00	66684.65	66702.16	66603.34	66640.09	500	0	1400
2026.03.29	05:15:00	66640.01	66696.14	66537.96	66583.13	607	0	1400
2026.03.29	05:30:00	66582.43	66626.65	66535.20	66615.11	449	0	1400
2026.03.29	05:45:00	66619.56	66781.81	66570.34	66713.70	483	0	1400
2026.03.29	06:00:00	66710.61	66819.64	66710.61	66755.68	371	0	1400
2026.03.29	06:15:00	66756.13	66807.24	66582.92	66647.30	473	0	1400
2026.03.29	06:30:00	66634.30	66675.60	66595.36	66621.27	384	0	1400
2026.03.29	06:45:00	66618.98	66725.43	66599.02	66673.95	440	0	1400
2026.03.29	07:00:00	66672.88	66672.88	66490.46	66539.12	515	0	1400
2026.03.29	07:15:00	66541.58	66634.31	66517.25	66623.00	390	0	1400
2026.03.29	07:30:00	66624.58	66661.35	66554.29	66581.75	346	0	1400
2026.03.29	07:45:00	66584.28	66700.05	66542.48	66606.89	360	0	1400
2026.03.29	08:00:00	66603.11	66698.28	66565.32	66592.67	444	0	1400
2026.03.29	08:15:00	66584.66	66623.80	66537.49	66619.16	303	0	1400
2026.03.29	08:30:00	66621.65	66722.09	66614.72	66681.78	413	0	1400
2026.03.29	08:45:00	66682.01	66688.85	66631.59	66663.90	380	0	1400
2026.03.29	09:00:00	66666.23	66718.34	66521.23	66636.45	546	0	1400
2026.03.29	09:15:00	66630.38	66668.31	66572.10	66611.82	387	0	1400
2026.03.29	09:30:00	66611.82	66638.20	66472.39	66527.16	497	0	1400
2026.03.29	09:45:00	66530.06	66590.63	66520.28	66563.47	377	0	1400
2026.03.29	10:00:00	66561.23	66561.23	66427.61	66495.51	513	0	1400
2026.03.29	10:15:00	66484.70	66507.63	66368.06	66414.01	510	0	1400
2026.03.29	10:30:00	66413.47	66492.40	66340.48	66492.40	512	0	1400
2026.03.29	10:45:00	66487.63	66523.72	66434.19	66452.76	454	0	1400
2026.03.29	11:00:00	66453.47	66808.31	66442.33	66716.04	871	0	1400
2026.03.29	11:15:00	66719.88	66798.38	66667.56	66776.29	633	0	1400
2026.03.29	11:30:00	66779.52	66874.90	66711.68	66831.61	619	0	1400
2026.03.29	11:45:00	66830.96	66963.54	66737.37	66758.45	551	0	1400
2026.03.29	12:00:00	66752.33	66793.91	66699.35	66706.97	515	0	1400
2026.03.29	12:15:00	66710.18	66763.25	66653.11	66728.92	482	0	1400
2026.03.29	12:30:00	66728.86	66756.05	66639.56	66687.26	445	0	1400
2026.03.29	12:45:00	66690.06	66811.61	66663.51	66784.87	484	0	1400
2026.03.29	13:00:00	66788.03	66816.50	66461.63	66539.65	1038	0	1400
2026.03.29	13:15:00	66544.11	66643.49	66496.42	66577.21	637	0	1400
2026.03.29	13:30:00	66575.85	66636.02	66543.58	66607.44	517	0	1400
2026.03.29	13:45:00	66608.90	66636.74	66469.13	66519.91	571	0	1400
2026.03.29	14:00:00	66520.75	66738.37	66395.80	66609.93	956	0	1400
2026.03.29	14:15:00	66608.10	66640.37	66448.31	66479.49	673	0	1400
2026.03.29	14:30:00	66480.46	66562.20	66432.76	66519.41	522	0	1400
2026.03.29	14:45:00	66509.06	66545.58	66430.87	66526.21	589	0	1400
2026.03.29	15:00:00	66529.54	66663.96	66455.63	66535.79	779	0	1400
2026.03.29	15:15:00	66537.72	66608.32	66269.55	66370.90	831	0	1400
2026.03.29	15:30:00	66375.74	66411.35	66256.29	66390.51	704	0	1400
2026.03.29	15:45:00	66392.24	66490.39	66350.57	66464.93	546	0	1400
2026.03.29	16:00:00	66468.39	66502.21	66379.34	66387.86	580	0	1400
2026.03.29	16:15:00	66387.94	66600.42	66359.58	66551.88	836	0	1400
2026.03.29	16:30:00	66556.61	66558.56	66467.20	66474.06	598	0	1400
2026.03.29	16:45:00	66474.11	66504.87	66413.38	66443.71	477	0	1400
2026.03.29	17:00:00	66445.54	66487.94	66322.17	66355.41	535	0	1400
2026.03.29	17:15:00	66357.30	66357.30	66086.47	66202.05	892	0	1400
2026.03.29	17:30:00	66190.27	66366.07	66166.01	66319.85	653	0	1400
2026.03.29	17:45:00	66320.06	66377.27	66285.88	66321.05	448	0	1400
2026.03.29	18:00:00	66320.77	66353.32	66252.16	66332.25	478	0	1400
2026.03.29	18:15:00	66332.32	66416.93	66291.93	66337.53	472	0	1400
2026.03.29	18:30:00	66337.39	66499.08	66334.69	66376.44	501	0	1400
2026.03.29	18:45:00	66369.01	66403.82	66322.04	66360.81	381	0	1400
2026.03.29	19:00:00	66360.18	66399.80	66317.21	66375.36	359	0	1400
2026.03.29	19:15:00	66378.39	66412.91	66327.08	66364.29	423	0	1400
2026.03.29	19:30:00	66354.63	66427.11	66284.60	66329.26	409	0	1400
2026.03.29	19:45:00	66322.55	66363.65	66253.96	66286.36	349	0	1400
2026.03.29	20:00:00	66291.97	66459.72	66288.18	66403.66	392	0	1400
2026.03.29	20:15:00	66406.03	66743.96	66406.03	66647.92	669	0	1400
