<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.09	00:00:00	70267.85	70376.67	70207.81	70296.53	214	0	1800
2026.02.09	00:01:00	70306.57	70533.00	70280.20	70378.30	286	0	1800
2026.02.09	00:02:00	70374.02	70442.13	70311.68	70379.71	200	0	1800
2026.02.09	00:03:00	70384.44	70413.34	70268.85	70293.99	228	0	1800
2026.02.09	00:04:00	70293.70	70410.33	70293.70	70371.97	175	0	1800
2026.02.09	00:05:00	70370.72	70601.29	70340.91	70570.11	207	0	1800
2026.02.09	00:06:00	70576.02	70588.52	70476.86	70512.05	224	0	1800
2026.02.09	00:07:00	70503.52	70540.18	70373.57	70374.21	130	0	1800
2026.02.09	00:08:00	70369.45	70474.98	70330.63	70397.78	155	0	1800
2026.02.09	00:09:00	70407.66	70518.49	70407.66	70482.68	159	0	1800
2026.02.09	00:10:00	70476.18	70505.89	70391.12	70391.12	179	0	1800
2026.02.09	00:11:00	70398.02	70483.04	70398.02	70421.85	156	0	1800
2026.02.09	00:12:00	70419.00	70507.53	70347.22	70494.31	160	0	1800
2026.02.09	00:13:00	70493.56	70574.76	70486.00	70531.01	155	0	1800
2026.02.09	00:14:00	70527.51	70564.76	70474.61	70553.48	102	0	1800
2026.02.09	00:15:00	70556.46	70593.24	70481.03	70511.16	132	0	1800
2026.02.09	00:16:00	70516.00	70535.17	70367.81	70380.52	134	0	1800
2026.02.09	00:17:00	70377.30	70420.66	70289.92	70390.28	177	0	1800
2026.02.09	00:18:00	70392.82	70488.87	70392.05	70473.03	126	0	1800
2026.02.09	00:19:00	70474.09	70555.43	70474.09	70497.49	119	0	1800
2026.02.09	00:20:00	70496.61	70615.89	70488.31	70596.13	108	0	1800
2026.02.09	00:21:00	70590.76	70657.06	70557.41	70566.39	129	0	1800
2026.02.09	00:22:00	70566.17	70661.45	70550.51	70560.73	110	0	1800
2026.02.09	00:23:00	70566.10	70608.74	70563.45	70596.25	79	0	1800
2026.02.09	00:24:00	70590.27	70698.60	70559.77	70662.33	107	0	1800
2026.02.09	00:25:00	70671.56	70724.42	70653.73	70721.44	133	0	1800
2026.02.09	00:26:00	70719.40	70726.28	70524.14	70562.23	148	0	1800
2026.02.09	00:27:00	70561.31	70561.31	70432.40	70509.66	127	0	1800
2026.02.09	00:28:00	70509.98	70522.95	70432.48	70455.94	93	0	1800
2026.02.09	00:29:00	70454.39	70454.39	70382.28	70435.92	124	0	1800
2026.02.09	00:30:00	70430.95	70482.52	70421.10	70448.22	106	0	1800
2026.02.09	00:31:00	70447.90	70447.90	70307.76	70431.44	170	0	1800
2026.02.09	00:32:00	70440.54	70518.36	70422.32	70422.32	92	0	1800
2026.02.09	00:33:00	70422.67	70528.55	70422.67	70515.50	75	0	1800
2026.02.09	00:34:00	70515.70	70571.36	70512.47	70556.04	67	0	1800
2026.02.09	00:35:00	70556.54	70573.14	70461.32	70484.80	86	0	1800
2026.02.09	00:36:00	70487.04	70487.12	70410.89	70410.89	79	0	1800
2026.02.09	00:37:00	70410.31	70435.62	70332.73	70336.92	106	0	1800
2026.02.09	00:38:00	70325.63	70394.97	70325.63	70361.17	82	0	1800
2026.02.09	00:39:00	70361.45	70396.48	70329.24	70355.95	64	0	1800
2026.02.09	00:40:00	70358.80	70372.42	70124.70	70124.70	148	0	1800
2026.02.09	00:41:00	70125.05	70285.48	70082.80	70262.40	196	0	1800
2026.02.09	00:42:00	70277.76	70295.64	70153.76	70155.94	118	0	1800
2026.02.09	00:43:00	70148.62	70235.61	70086.38	70191.00	166	0	1800
2026.02.09	00:44:00	70191.39	70232.20	70144.06	70224.58	74	0	1800
2026.02.09	00:45:00	70221.82	70255.82	70051.27	70141.79	167	0	1800
2026.02.09	00:46:00	70147.37	70318.61	70121.23	70288.98	161	0	1800
2026.02.09	00:47:00	70285.23	70343.82	70228.66	70249.57	117	0	1800
2026.02.09	00:48:00	70255.85	70387.63	70255.85	70348.36	92	0	1800
2026.02.09	00:49:00	70344.71	70452.79	70313.02	70419.07	110	0	1800
2026.02.09	00:50:00	70415.05	70457.66	70376.67	70376.67	92	0	1800
2026.02.09	00:51:00	70376.53	70416.82	70336.54	70397.77	93	0	1800
